rank,candidate,candidate_name,entity_type,number_of_amr_determinants,number_of_strains,layers_supported,minimum_path_length,evidence_types,n_direct_observations,n_graph_derived,n_annotation_mediated,n_inferred,n_directly_measured_strains,strains,determinants,repeated_across_strains,determinant_fraction,hub_candidate,p_value,q_value,enrichment_significant
1,CHEBI:30797,L-Malic acid,metabolite,9,4,metabolome,2,directly_observed; inferred,8,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
2,CHEBI:15741,Succinic acid,metabolite,9,4,metabolome,2,directly_observed; inferred,8,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
3,CHEBI:4170,Glucose 6-phosphate,metabolite,9,4,metabolome,2,directly_observed; inferred,8,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
4,CHEBI:17053,L-Aspartic acid,metabolite,9,4,metabolome,2,directly_observed; inferred,8,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
5,CHEBI:18012,Fumaric acid,metabolite,9,4,metabolome,2,directly_observed; inferred,8,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
6,CHEBI:15344,Acetoacetic acid,metabolite,9,4,metabolome,2,directly_observed; inferred,8,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
7,CHEBI:30769,Citric acid,metabolite,9,4,metabolome,2,directly_observed; inferred,8,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
8,CHEBI:17634,D-Glucose,metabolite,9,4,metabolome,2,directly_observed; inferred,8,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
9,CHEBI:16027,Adenosine monophosphate,metabolite,9,4,metabolome,2,directly_observed; inferred,7,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; blaTEM-1b; dfrA12; dfrA14; dfrA17; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
10,CHEBI:17659,Uridine 5'-diphosphate,metabolite,9,4,metabolome,2,directly_observed; inferred,7,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; blaTEM-1b; dfrA12; dfrA14; dfrA17; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
11,WP_000074527.1,alaA,protein,9,4,proteome,2,annotation_mediated,0,0,9,0,0,B36; MS_14384; MS_14386; MS_14387,aac(3)-IId; aac(6')-Ib-cr5; aph(3')-Ia; blaCMY-2; blaOXA-1; blaTEM-1b; fosA4; strAB,True,0.6923076923076923,False,4.102050286280622e-05,0.023971403346553868,True
12,CHEBI:16467,L-Arginine,metabolite,9,3,metabolome,2,directly_observed; inferred,7,0,0,9,3,B36; MS_14386; MS_14387,blaOXA-1; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
13,EW035_RS00170,ilvN,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
14,EW035_RS00460,gpmM,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,aadA1; aph(3')-Ia; blaTEM-1b; blaTEM-215; dfrA12; dfrA14; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
15,EW035_RS00680,avtA,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
16,EW035_RS01515,gntK,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,aadA1; aph(3')-Ia; blaTEM-1b; blaTEM-215; dfrA12; dfrA14; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
17,EW035_RS01530,asd,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
18,EW035_RS01700,pckA,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,aadA1; aph(3')-Ia; blaTEM-1b; blaTEM-215; dfrA12; dfrA14; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
19,EW035_RS01770,aroB,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
20,EW035_RS01785,rpe,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,aadA1; aph(3')-Ia; blaTEM-1b; blaTEM-215; dfrA12; dfrA14; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
21,EW035_RS01790,gph,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,aadA1; aph(3')-Ia; blaTEM-1b; blaTEM-215; dfrA12; dfrA14; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
22,EW035_RS01885,pabA,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
23,EW035_RS01890,argD,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
24,EW035_RS02285,aroE,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
25,EW035_RS02585,nanK,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,aadA1; aph(3')-Ia; blaTEM-1b; blaTEM-215; dfrA12; dfrA14; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
26,EW035_RS02610,gltB,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
27,EW035_RS02810,argG,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,aadA1; aph(3')-Ia; blaTEM-1b; blaTEM-215; dfrA12; dfrA14; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
28,EW035_RS03095,tdcB,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
29,EW035_RS03120,tdcG,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
30,EW035_RS03915,speC,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
31,EW035_RS04155,pgk,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,aadA1; aph(3')-Ia; blaTEM-1b; blaTEM-215; dfrA12; dfrA14; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
32,EW035_RS04160,fbaA,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,aadA1; aph(3')-Ia; blaTEM-1b; blaTEM-215; dfrA12; dfrA14; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
33,EW035_RS04220,serA,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
34,EW035_RS04275,gcvT,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
35,EW035_RS04280,gcvH,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
36,EW035_RS04285,gcvP,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
37,EW035_RS04670,lysA,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
38,EW035_RS05050,sdaB,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
39,EW035_RS05140,eno,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,aadA1; aph(3')-Ia; blaTEM-1b; blaTEM-215; dfrA12; dfrA14; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
40,EW035_RS05915,tyrA,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
41,EW035_RS05920,pheA,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
42,EW035_RS06135,purL,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,aadA1; aph(3')-Ia; blaTEM-1b; blaTEM-215; dfrA12; dfrA14; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
43,EW035_RS06165,glyA,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
44,EW035_RS06330,ndk,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,aadA1; aph(3')-Ia; blaTEM-1b; blaTEM-215; dfrA12; dfrA14; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
45,EW035_RS07450,alaA,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,aac(3)-IId; blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
46,EW035_RS05135,pyrG,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,aadA1; aph(3')-Ia; blaTEM-1b; blaTEM-215; dfrA12; dfrA14; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
47,CHEBI:16016,Dihydroxyacetone,metabolite,8,4,metabolome,2,directly_observed; inferred,7,0,0,8,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
48,CHEBI:16108,Dihydroxyacetone phosphate,metabolite,8,4,metabolome,2,directly_observed; inferred,7,0,0,8,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
49,WP_001295175.1,emrA,protein,8,4,proteome,2,annotation_mediated,0,0,8,0,0,B36; MS_14384; MS_14386; MS_14387,aac(3)-IId; blaCMY-2; blaCTX-M-15; blaOXA-1; blaTEM-1b; blaTEM-215; strAB,True,0.6153846153846154,False,0.00023916594484194256,0.023971403346553868,True
50,WP_000091945.1,rplF,protein,8,4,proteome,2,annotation_mediated,0,0,8,0,0,B36; MS_14384; MS_14386; MS_14387,aac(3)-IId; aac(6')-Ib-cr5; aph(3')-Ia; blaCMY-2; blaOXA-1; blaTEM-1b; strAB,True,0.6153846153846154,False,0.00023916594484194256,0.023971403346553868,True
51,WP_000130100.1,rpsQ,protein,8,4,proteome,2,annotation_mediated,0,0,8,0,0,B36; MS_14384; MS_14386; MS_14387,aac(3)-IId; aac(6')-Ib-cr5; aph(3')-Ia; blaCMY-2; blaOXA-1; blaTEM-1b; strAB,True,0.6153846153846154,False,0.00023916594484194256,0.023971403346553868,True
52,WP_000135224.1,rpsD,protein,8,4,proteome,2,annotation_mediated,0,0,8,0,0,B36; MS_14384; MS_14386; MS_14387,aac(3)-IId; aac(6')-Ib-cr5; aph(3')-Ia; blaCMY-2; blaOXA-1; blaTEM-1b; strAB,True,0.6153846153846154,False,0.00023916594484194256,0.023971403346553868,True
53,WP_000246815.1,rpsL,protein,8,4,proteome,2,annotation_mediated,0,0,8,0,0,B36; MS_14384; MS_14386; MS_14387,aac(3)-IId; aac(6')-Ib-cr5; aph(3')-Ia; blaCMY-2; blaOXA-1; blaTEM-1b; strAB,True,0.6153846153846154,False,0.00023916594484194256,0.023971403346553868,True
54,WP_000263098.1,rpoB,protein,8,4,proteome,2,annotation_mediated,0,0,8,0,0,B36; MS_14384; MS_14386; MS_14387,aac(3)-IId; aac(6')-Ib-cr5; aph(3')-Ia; blaCMY-2; blaOXA-1; blaTEM-1b; strAB,True,0.6153846153846154,False,0.00023916594484194256,0.023971403346553868,True
55,WP_000424395.1,rplD,protein,8,4,proteome,2,annotation_mediated,0,0,8,0,0,B36; MS_14384; MS_14386; MS_14387,aac(3)-IId; aac(6')-Ib-cr5; aph(3')-Ia; blaCMY-2; blaOXA-1; blaTEM-1b; strAB,True,0.6153846153846154,False,0.00023916594484194256,0.023971403346553868,True
56,WP_000447529.1,rplV,protein,8,4,proteome,2,annotation_mediated,0,0,8,0,0,B36; MS_14384; MS_14386; MS_14387,aac(3)-IId; aac(6')-Ib-cr5; aph(3')-Ia; blaCMY-2; blaOXA-1; blaTEM-1b; strAB,True,0.6153846153846154,False,0.00023916594484194256,0.023971403346553868,True
57,WP_000617723.1,ftsE,protein,8,4,proteome,2,annotation_mediated,0,0,8,0,0,B36; MS_14384; MS_14386; MS_14387,aac(3)-IId; aac(6')-Ib-cr5; aph(3')-Ia; blaCMY-2; blaOXA-1; blaTEM-1b; strAB,True,0.6153846153846154,False,0.00023916594484194256,0.023971403346553868,True
58,WP_000624375.1,folA,protein,8,4,proteome,2,annotation_mediated,0,0,8,0,0,B36; MS_14384; MS_14386; MS_14387,aac(3)-IId; aac(6')-Ib-cr5; aph(3')-Ia; blaCMY-2; blaOXA-1; blaTEM-1b; strAB,True,0.6153846153846154,False,0.00023916594484194256,0.023971403346553868,True
59,WP_000776191.1,mrdA,protein,8,4,proteome,2,annotation_mediated,0,0,8,0,0,B36; MS_14384; MS_14386; MS_14387,aac(3)-IId; aac(6')-Ib-cr5; aph(3')-Ia; blaCMY-2; blaOXA-1; blaTEM-1b; strAB,True,0.6153846153846154,False,0.00023916594484194256,0.023971403346553868,True
60,CHEBI:17750,Betaine,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
61,CHEBI:17191,L-Isoleucine,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
62,CHEBI:17306,D-Maltose,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
63,CHEBI:15428,Glycine,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
64,CHEBI:15603,L-Leucine,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
65,CHEBI:17295,L-Phenylalanine,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
66,CHEBI:17057,Cellobiose,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
67,CHEBI:17361,Cytidine monophosphate,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
68,CHEBI:17115,L-Serine,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
69,CHEBI:16704,Uridine,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
70,CHEBI:17203,L-Proline,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
71,CHEBI:15570,D-Alanine,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
72,CHEBI:17562,Cytidine,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
73,CHEBI:16264,Uridine diphosphate-N-acetylglucosamine,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
74,CHEBI:16856,Glutathione,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
75,CHEBI:15824,D-Fructose,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
76,CHEBI:16335,Adenosine,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
77,CHEBI:15978,Glycerol 3-phosphate,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
78,CHEBI:16634,Raffinose,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
79,CHEBI:29069,Phthalic acid,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
80,CHEBI:17596,Inosine,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
81,CHEBI:16750,Guanosine,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
82,CHEBI:15971,L-Histidine,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
83,CHEBI:17992,Sucrose,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
84,CHEBI:17268,myo-Inositol,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
85,CHEBI:15698,Deoxycytidine,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
86,CHEBI:17754,Glycerol,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
87,CHEBI:18019,L-Lysine,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
88,CHEBI:16024,D-Mannose,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
89,CHEBI:37690,Allose,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
90,CHEBI:29864,Mannitol,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
91,CHEBI:16988,D-Ribose,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
92,CHEBI:65327,D-Xylose,metabolite,8,3,metabolome,2,directly_observed; inferred,7,0,0,8,3,B36; MS_14386; MS_14387,dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6153846153846154,False,0.5055488872580757,0.8550645935707271,False
93,WP_000150637.1,yadG,protein,8,3,proteome,2,annotation_mediated,0,0,8,0,0,MS_14384; MS_14386; MS_14387,aac(3)-IId; aph(3')-Ia; blaCMY-2; blaTEM-1b; blaTEM-215; strAB,True,0.6153846153846154,False,0.00023916594484194256,0.023971403346553868,True
94,EW035_RS02790,glmM,gene,8,1,genome,2,annotation_mediated,0,0,8,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; strAB; sul2; sul3,False,0.6153846153846154,False,0.0008744032550341127,0.06373869787831994,False
95,EW035_RS03065,garK,gene,8,1,genome,2,annotation_mediated,0,0,8,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; strAB; sul2; sul3,False,0.6153846153846154,False,0.0008744032550341127,0.06373869787831994,False
96,EW035_RS04090,tkt,gene,8,1,genome,2,annotation_mediated,0,0,8,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; strAB; sul2; sul3,False,0.6153846153846154,False,0.0008744032550341127,0.06373869787831994,False
97,EW035_RS04215,rpiA,gene,8,1,genome,2,annotation_mediated,0,0,8,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; strAB; sul2; sul3,False,0.6153846153846154,False,0.0008744032550341127,0.06373869787831994,False
