strain,amr_determinant,amr_class,source_entity,source_layer,target_entity,target_layer,relationship,path_length,node_sequence,edge_sequence,evidence_type,evidence_source,observed_status
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS20170_RNA,transcriptome,rna_quantified,0,,,directly_observed,aligned_multiomics.csv (RNA_RPMI/RNA_Sera),observed
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,WP_000976514.1,proteome,protein_quantified,0,,,directly_observed,aligned_multiomics.csv (Protein_RPMI/Protein_Sera),observed
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS20165,genome,genomic_proximity,1,EW037_RS20170;EW037_RS20165,genomic_proximity,graph_derived,edges_gene_genomic_proximity_gene.csv,graph_derived
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS20175,genome,genomic_proximity,1,EW037_RS20170;EW037_RS20175,genomic_proximity,graph_derived,edges_gene_genomic_proximity_gene.csv,graph_derived
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,hypergraph,Triple_EW037_RS20170,hypergraph,hyperedge_membership,1,WP_000976514.1;Triple_EW037_RS20170,member_of:multi_omics_triple,graph_derived,hyperedges.csv,graph_derived
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,hypergraph,map02020,hypergraph,hyperedge_membership,1,WP_000976514.1;map02020,member_of:kegg_pathway,graph_derived,hyperedges.csv,graph_derived
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,hypergraph,ko02020,hypergraph,hyperedge_membership,1,WP_000976514.1;ko02020,member_of:kegg_pathway,graph_derived,hyperedges.csv,graph_derived
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,hypergraph,map01501,hypergraph,hyperedge_membership,1,WP_000976514.1;map01501,member_of:kegg_pathway,graph_derived,hyperedges.csv,graph_derived
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,hypergraph,ko01501,hypergraph,hyperedge_membership,1,WP_000976514.1;ko01501,member_of:kegg_pathway,graph_derived,hyperedges.csv,graph_derived
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,hypergraph,COG_V: Defense mechanisms,hypergraph,hyperedge_membership,1,WP_000976514.1;COG_V: Defense mechanisms,member_of:cog_category,graph_derived,hyperedges.csv,graph_derived
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,hypergraph,beta_lactam_resistance,hypergraph,hyperedge_membership,1,WP_000976514.1;beta_lactam_resistance,member_of:amr_mechanism,graph_derived,hyperedges.csv,graph_derived
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,hypergraph,GO:0046677: P:response to antibiotic,hypergraph,hyperedge_membership,1,WP_000976514.1;GO:0046677: P:response to antibiotic,member_of:go_term,graph_derived,hyperedges.csv,graph_derived
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,hypergraph,GO:0030288: C:outer membrane-bounded periplasmic space,hypergraph,hyperedge_membership,1,WP_000976514.1;GO:0030288: C:outer membrane-bounded periplasmic space,member_of:go_term,graph_derived,hyperedges.csv,graph_derived
