strain,amr_determinant,amr_class,source_entity,source_layer,target_entity,target_layer,relationship,path_length,node_sequence,edge_sequence,evidence_type,evidence_source,observed_status
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,hypergraph,GO:0008800: F:beta-lactamase activity,hypergraph,hyperedge_membership,1,WP_000976514.1;GO:0008800: F:beta-lactamase activity,member_of:go_term,graph_derived,hyperedges.csv,graph_derived
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,hypergraph,Metabolic_map02020,hypergraph,hyperedge_membership,1,WP_000976514.1;Metabolic_map02020,member_of:metabolic_pathway,graph_derived,hyperedges.csv,graph_derived
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,hypergraph,GO:0017001: GO:0017001,hypergraph,hyperedge_membership,1,WP_000976514.1;GO:0017001: GO:0017001,member_of:go_term,graph_derived,hyperedges.csv,graph_derived
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,ko01501,kegg,in_pathway,1,EW037_RS20170;ko01501,in_pathway,annotation_mediated,edges_gene_in_pathway_annotation.csv (KEGG),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,ko02020,kegg,in_pathway,1,EW037_RS20170;ko02020,in_pathway,annotation_mediated,edges_gene_in_pathway_annotation.csv (KEGG),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,map01501,kegg,in_pathway,1,EW037_RS20170;map01501,in_pathway,annotation_mediated,edges_gene_in_pathway_annotation.csv (KEGG),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,map02020,kegg,in_pathway,1,EW037_RS20170;map02020,in_pathway,annotation_mediated,edges_gene_in_pathway_annotation.csv (KEGG),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,V,cog,cog_category,1,EW037_RS20170;V,cog_category,annotation_mediated,edges_gene_cog_category_annotation.csv (eggNOG/COG),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,proteome,GO:0008800,go,go_annotation,1,WP_000976514.1;GO:0008800,annotated_by,annotation_mediated,edges_protein_annotated_by_annotation.csv (GO),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,proteome,GO:0017001,go,go_annotation,1,WP_000976514.1;GO:0017001,annotated_by,annotation_mediated,edges_protein_annotated_by_annotation.csv (GO),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,proteome,GO:0030288,go,go_annotation,1,WP_000976514.1;GO:0030288,annotated_by,annotation_mediated,edges_protein_annotated_by_annotation.csv (GO),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,proteome,GO:0046677,go,go_annotation,1,WP_000976514.1;GO:0046677,annotated_by,annotation_mediated,edges_protein_annotated_by_annotation.csv (GO),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,proteome,GO:0008800,go,go_annotation,1,WP_000976514.1;GO:0008800,annotated_by,annotation_mediated,amr_uniprot_recovery.csv (per-ID UniProt lookup; bypasses upstream batch-search truncation),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,proteome,GO:0017001,go,go_annotation,1,WP_000976514.1;GO:0017001,annotated_by,annotation_mediated,amr_uniprot_recovery.csv (per-ID UniProt lookup; bypasses upstream batch-search truncation),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,proteome,GO:0030288,go,go_annotation,1,WP_000976514.1;GO:0030288,annotated_by,annotation_mediated,amr_uniprot_recovery.csv (per-ID UniProt lookup; bypasses upstream batch-search truncation),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,WP_000976514.1,proteome,GO:0046677,go,go_annotation,1,WP_000976514.1;GO:0046677,annotated_by,annotation_mediated,amr_uniprot_recovery.csv (per-ID UniProt lookup; bypasses upstream batch-search truncation),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,beta_lactam,ppi_amr,amr_mechanism,1,EW037_RS20170;beta_lactam,associated_with,annotation_mediated,amr_manifest / edges_gene_associated_with_annotation.csv,annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:15741,metabolome,shares_pathway,2,EW037_RS20170;map02020;CHEBI:15741,in_pathway;in_pathway,inferred,pathway-mediated (gene->pathway->metabolite),inferred
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:15741,metabolome,metabolite_quantified,2,,,directly_observed,metabolomics_abundance.csv,observed
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:30797,metabolome,shares_pathway,2,EW037_RS20170;map02020;CHEBI:30797,in_pathway;in_pathway,inferred,pathway-mediated (gene->pathway->metabolite),inferred
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:30797,metabolome,metabolite_quantified,2,,,directly_observed,metabolomics_abundance.csv,observed
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:16015,metabolome,shares_pathway,2,EW037_RS20170;map02020;CHEBI:16015,in_pathway;in_pathway,inferred,pathway-mediated (gene->pathway->metabolite),inferred
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:16015,metabolome,metabolite_quantified,2,,,directly_observed,metabolomics_abundance.csv,observed
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:26078,metabolome,shares_pathway,2,EW037_RS20170;map02020;CHEBI:26078,in_pathway;in_pathway,inferred,pathway-mediated (gene->pathway->metabolite),inferred
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:26078,metabolome,metabolite_quantified,2,,,directly_observed,metabolomics_abundance.csv,observed
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:4170,metabolome,shares_pathway,2,EW037_RS20170;map02020;CHEBI:4170,in_pathway;in_pathway,inferred,pathway-mediated (gene->pathway->metabolite),inferred
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:4170,metabolome,metabolite_quantified,2,,,directly_observed,metabolomics_abundance.csv,observed
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:17053,metabolome,shares_pathway,2,EW037_RS20170;map02020;CHEBI:17053,in_pathway;in_pathway,inferred,pathway-mediated (gene->pathway->metabolite),inferred
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:17053,metabolome,metabolite_quantified,2,,,directly_observed,metabolomics_abundance.csv,observed
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:18012,metabolome,shares_pathway,2,EW037_RS20170;map02020;CHEBI:18012,in_pathway;in_pathway,inferred,pathway-mediated (gene->pathway->metabolite),inferred
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:18012,metabolome,metabolite_quantified,2,,,directly_observed,metabolomics_abundance.csv,observed
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:32816,metabolome,shares_pathway,2,EW037_RS20170;map02020;CHEBI:32816,in_pathway;in_pathway,inferred,pathway-mediated (gene->pathway->metabolite),inferred
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:32816,metabolome,metabolite_quantified,2,,,directly_observed,metabolomics_abundance.csv,observed
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:15344,metabolome,shares_pathway,2,EW037_RS20170;map02020;CHEBI:15344,in_pathway;in_pathway,inferred,pathway-mediated (gene->pathway->metabolite),inferred
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:15344,metabolome,metabolite_quantified,2,,,directly_observed,metabolomics_abundance.csv,observed
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:30769,metabolome,shares_pathway,2,EW037_RS20170;map02020;CHEBI:30769,in_pathway;in_pathway,inferred,pathway-mediated (gene->pathway->metabolite),inferred
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:30769,metabolome,metabolite_quantified,2,,,directly_observed,metabolomics_abundance.csv,observed
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:17634,metabolome,shares_pathway,2,EW037_RS20170;map02020;CHEBI:17634,in_pathway;in_pathway,inferred,pathway-mediated (gene->pathway->metabolite),inferred
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,CHEBI:17634,metabolome,metabolite_quantified,2,,,directly_observed,metabolomics_abundance.csv,observed
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS00180,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS00180,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS00920,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS00920,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS00985,genome,graph_context,2,EW037_RS20170;map01501;EW037_RS00985,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS00990,genome,graph_context,2,EW037_RS20170;map01501;EW037_RS00990,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS01075,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS01075,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS01145,genome,graph_context,2,EW037_RS20170;COG_V: Defense mechanisms;EW037_RS01145,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS01340,genome,graph_context,2,EW037_RS20170;COG_V: Defense mechanisms;EW037_RS01340,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS01805,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS01805,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS01810,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS01810,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS01860,genome,graph_context,2,EW037_RS20170;map01501;EW037_RS01860,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS02030,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS02030,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS02575,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS02575,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS02670,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS02670,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS02710,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS02710,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS03535,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS03535,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS03610,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS03610,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS03615,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS03615,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS03740,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS03740,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS03975,genome,graph_context,2,EW037_RS20170;COG_V: Defense mechanisms;EW037_RS03975,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS04415,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS04415,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS04940,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS04940,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS05235,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS05235,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS05735,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS05735,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS05790,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS05790,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS06315,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS06315,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS06320,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS06320,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS06745,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS06745,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS06780,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS06780,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS06900,genome,graph_context,2,EW037_RS20170;COG_V: Defense mechanisms;EW037_RS06900,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS07140,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS07140,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS07205,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS07205,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS08045,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS08045,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS08195,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS08195,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS08215,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS08215,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS08225,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS08225,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS08230,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS08230,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS08235,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS08235,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS08240,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS08240,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS08350,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS08350,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS08540,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS08540,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS08695,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS08695,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS08910,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS08910,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS08915,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS08915,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS08930,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS08930,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS08935,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS08935,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS09165,genome,graph_context,2,EW037_RS20170;COG_V: Defense mechanisms;EW037_RS09165,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS09680,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS09680,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS10150,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS10150,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS10180,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS10180,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS10185,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS10185,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS10200,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS10200,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS10345,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS10345,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS10350,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS10350,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS10355,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS10355,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS10360,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS10360,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS10365,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS10365,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS10370,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS10370,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS10375,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS10375,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS11805,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS11805,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS11915,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS11915,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS11920,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS11920,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS12395,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS12395,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS12690,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS12690,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS12760,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS12760,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS12765,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS12765,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS13025,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS13025,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS13120,genome,graph_context,2,EW037_RS20170;map02020;EW037_RS13120,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,genome,EW037_RS13635,genome,graph_context,2,EW037_RS20170;map01501;EW037_RS13635,in_pathway;in_pathway,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
