Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Growth media]	Term Source REF	Term Accession Number	Factor Value[Isolation source]	Term Source REF	Term Accession Number	Factor Value[Serovar]	Term Source REF	Term Accession Number	Factor Value[Strain or isolate]	Term Source REF	Term Accession Number
102.100.100/50931	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14384			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50931	Pooled sera			Blood						MS14384		
102.100.100/50932	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14384			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50932	Pooled sera			Blood						MS14384		
102.100.100/50933	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14384			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50933	Pooled sera			Blood						MS14384		
102.100.100/50934	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14384			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50934	Pooled sera			Blood						MS14384		
102.100.100/50935	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14384			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50935	Pooled sera			Blood						MS14384		
102.100.100/50936	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14384			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50936	Pooled sera			Blood						MS14384		
102.100.100/50937	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14385			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50937	RPMI			Blood						MS14385		
102.100.100/50938	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14385			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50938	RPMI			Blood						MS14385		
102.100.100/50939	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14385			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50939	RPMI			Blood						MS14385		
102.100.100/50940	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14385			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50940	RPMI			Blood						MS14385		
102.100.100/50941	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14385			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50941	RPMI			Blood						MS14385		
102.100.100/50942	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14385			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50942	RPMI			Blood						MS14385		
102.100.100/50943	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14385			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50943	Pooled sera			Blood						MS14385		
102.100.100/50944	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14385			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50944	Pooled sera			Blood						MS14385		
102.100.100/50945	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14385			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50945	Pooled sera			Blood						MS14385		
102.100.100/50946	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14385			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50946	Pooled sera			Blood						MS14385		
