database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	102.100.100/50913	102.100.100/50914	102.100.100/50915	102.100.100/50916	102.100.100/50917	102.100.100/50918	102.100.100/50919	102.100.100/50920	102.100.100/50921	102.100.100/50922	102.100.100/50923	102.100.100/50924	102.100.100/50925	102.100.100/50926	102.100.100/50927	102.100.100/50928	102.100.100/50929	102.100.100/50930	102.100.100/50931	102.100.100/50932	102.100.100/50933	102.100.100/50934	102.100.100/50935	102.100.100/50936	102.100.100/50937	102.100.100/50938	102.100.100/50939	102.100.100/50940	102.100.100/50941	102.100.100/50942	102.100.100/50943	102.100.100/50944	102.100.100/50945	102.100.100/50946	102.100.100/50947	102.100.100/50948	102.100.100/50949	102.100.100/50950	102.100.100/50951	102.100.100/50952	102.100.100/50953	102.100.100/50954	102.100.100/50955	102.100.100/50956	102.100.100/50957	102.100.100/50958	102.100.100/50959	102.100.100/50960	102.100.100/50961	102.100.100/50962	102.100.100/50963	102.100.100/50964	102.100.100/50965	102.100.100/50966	102.100.100/50967	102.100.100/50968	102.100.100/50969	102.100.100/50970	102.100.100/50971	102.100.100/50972	metabolite
CHEBI:32365	C17H34O2	CCCCCCCCCCCCCCCCC(O)=O	InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)	Heptadecanoic acid																	63139	34108	36854	54038	47606	33775	39153	51216	48465	46682	28232	33897	65853	34017	42476	61136	48676	28460	36773	54039	75302	129646	39032	56869	48288	10123	48083	19390	39233	40511	39553	45012	51868	44440	46120	51927	29111	42264	48862	44637	55463	33819	36332	56014	72705	34439	41606	42286	85659	44940	26622	56313	26249	22131	46431	248630	40391	78263	62668	52821	Heptadecanoic acid
CHEBI:27248	C6H6N2O2	[H]C(=C([H])c1c[nH]cn1)C(O)=O	InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)	Urocanic acid																	59034	76898	98291	71431	112539	85314	74347	110611	1965725	87830	105313	122382	83161	23982	23513	62291	27894	11434	71832	157670	71570	164741	60496	125133	40200	112290	65587	111935	34850	48601	62326	88701	44716	55774	29886	43935	73309	25335	88505	83319	63869	25620	64437	115044	52993	78890	13182	71884	33689	42785	68237	89828	76002	93007	75908	72347	48822	98317	92711	77197	Urocanic acid
CHEBI:16264	C17H27N3O17P2	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O	InChI=1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/t7-,8-,10-,11-,12-,13-,14-,15-,16-/m1/s1	Uridine diphosphate-N-acetylglucosamine																	363862	328668	161718	436661	459452	414096	280199	365095	223593	292998	136086	299055	474602	423406	211279	578234	492065	297229	200782	311743	62275	188757	161967	100134	610145	512665	572821	556575	301302	602122	201475	211902	32279	113889	82967	122669	247725	479731	374087	553318	576358	580450	232432	270020	114753	377408	190240	110501	242735	293608	110972	289615	332728	200847	69673	169279	122788	184859	116061	116114	Uridine diphosphate-N-acetylglucosamine
CHEBI:24309	C5H6O4	[H]C(CC(O)=O)=CC(O)=O	InChI=1S/C5H6O4/c6-4(7)2-1-3-5(8)9/h1-2H,3H2,(H,6,7)(H,8,9)	Glutaconic acid																	7801	17357	17586	7180	16891	18967	6337	13655	11126	2430	3339	10028	2754	16931	9891	9648	14557	6273	21149	17369	19930	18494	16539	17559	7256	11065	1242	23571	13792	15170	12968	2814	7922	13135	16263	8478	32521	28096	22627	29066	23574	21262	17708	15760	12189	13580	13047	11484	10082	22581	27168	16891	5676	10590	21575	18925	12936	29143	15542	19707	Glutaconic acid
CHEBI:29069	C8H6O4	OC(=O)c1ccccc1C(O)=O	InChI=1S/C8H6O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)(H,11,12)	Phthalic acid																	183488	194229	159676	214073	196946	130475	171696	183359	193854	228506	193143	179669	197190	196556	196966	207132	193862	217544	201912	230589	190629	179942	182012	224524	121708	185637	202341	238392	264398	162481	216141	208373	186839	226027	204479	232067	187648	195401	227741	175460	240071	247923	188437	184340	145714	251860	182098	219070	216989	218333	180114	194371	192075	185734	203814	178133	181221	202852	144227	190076	Phthalic acid
CHEBI:37690	C6H12O6			Allose																	26998	25166	12262	12471	13696	11815	39068	1966	22931	28508	24221	13745	1224	17374	12056	13448	16390	17603	40366	18752	11279	32700	7957	43703	16324	13482	13126	14363	6682	9722	2909	3159	7444	2504	16868	3961	2586	17787	17795	1205	25188	10719	22186	20745	22888	24476	11168	1744	16187	11525	4444	13552	10630	6597	44854	54821	2317	42228	26442	26260	Allose
CHEBI:16761	C10H15N5O10P2	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1	ADP																	1080542	920137	799854	1071216	1017481	1064600	562586	705679	785924	615619	565917	795188	1124175	1219673	1285484	1513561	965249	1012723	792506	397997	324266	623550	543533	487403	1259237	734515	1764861	1420551	570612	1368136	324626	420299	57276	154910	147620	249805	827982	1450708	1105384	1754348	1214510	2220156	470655	495929	369029	1047778	427911	280125	1442043	1245264	1128087	1469467	1625322	1126526	580689	625356	559067	883329	554935	425935	ADP
CHEBI:17268	C6H12O6	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O	InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3-,4+,5-,6-	myo-Inositol																	31604	6634	15146	23900	15415	15102	27455	29831	25935	31557	26159	10211	32279	4551	12056	15377	22735	18142	43704	13773	16592	36425	41892	28356	19535	15312	13126	14363	6546	9722	4623	18282	17821	10048	14563	31487	19331	5421	6413	16613	11286	12113	13012	26126	9002	25716	28233	28279	18235	13464	15437	15010	11411	19277	59040	55505	38843	29572	48319	21869	myo-Inositol
CHEBI:16857	C4H9NO3	C[C@@H](O)[C@H](N)C(O)=O	InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1	L-Threonine																	68434	331923	136023	117587	147230	95436	14605	15036	1534324	43935	64604	8198	53745	223190	140386	24551	214823	205884	73347	117761	32729	24924	90221	85768	48443	75950	72223	155636	121303	183101	118064	74763	35709	85603	72147	89723	124555	223719	55652	162864	131908	175842	29602	14241	25337	27191	12690	31536	213021	297422	208303	61583	355461	76108	48130	78040	85585	19453	138623	34192	L-Threonine
CHEBI:30769	C6H8O7	OC(=O)CC(O)(CC(O)=O)C(O)=O	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)	Citric acid																	115573	82285	40865	100139	191845	89988	63453	116709	62933	45538	53340	166752	169564	126595	37123	284194	144398	55228	113988	155878	47628	72060	113634	24863	105163	71163	152079	111489	89450	45562	31572	38683	8302	11020	16569	12568	122215	225134	150654	95283	358275	140785	51931	109437	25461	134174	90517	22539	533434	131464	59739	224748	124667	152900	62226	45532	94010	98428	57731	54249	Citric acid
