database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	102.100.100/50913	102.100.100/50914	102.100.100/50915	102.100.100/50916	102.100.100/50917	102.100.100/50918	102.100.100/50919	102.100.100/50920	102.100.100/50921	102.100.100/50922	102.100.100/50923	102.100.100/50924	102.100.100/50925	102.100.100/50926	102.100.100/50927	102.100.100/50928	102.100.100/50929	102.100.100/50930	102.100.100/50931	102.100.100/50932	102.100.100/50933	102.100.100/50934	102.100.100/50935	102.100.100/50936	102.100.100/50937	102.100.100/50938	102.100.100/50939	102.100.100/50940	102.100.100/50941	102.100.100/50942	102.100.100/50943	102.100.100/50944	102.100.100/50945	102.100.100/50946	102.100.100/50947	102.100.100/50948	102.100.100/50949	102.100.100/50950	102.100.100/50951	102.100.100/50952	102.100.100/50953	102.100.100/50954	102.100.100/50955	102.100.100/50956	102.100.100/50957	102.100.100/50958	102.100.100/50959	102.100.100/50960	102.100.100/50961	102.100.100/50962	102.100.100/50963	102.100.100/50964	102.100.100/50965	102.100.100/50966	102.100.100/50967	102.100.100/50968	102.100.100/50969	102.100.100/50970	102.100.100/50971	102.100.100/50972	metabolite
CHEBI:28875	C14H28O2	CCCCCCCCCCCCCC(O)=O	InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)	Myristic acid																	123020	93343	78754	81732	96930	116816	121491	151416	66128	94906	58925	126030	73089	97078	70163	109064	91265	36777	173031	113125	161193	201982	105483	139654	81959	42419	119501	68370	50255	62018	68538	86679	75430	73389	92533	91208	177522	181400	148365	87985	124122	72618	74296	100820	102679	99112	158002	108724	113382	79889	90514	123953	80059	132267	166956	134975	186416	187830	61633	149901	Myristic acid
CHEBI:15887	C5H11NO2	NCCCCC(O)=O	InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)	5-Aminopentanoic acid																	85335	106538	39836	34423	16300	18262	264668	209045	114305	144388	35106	79992	55076	35062	24972	27692	19392	44573	123076	22325	23855	17851	13134	16297	9864	10809	16893	21784	5039	9285	2135	9139	1853	4208	10208	5986	19720	83659	44329	53348	45543	35555	20976	114900	12954	55141	46395	12884	17848	28406	20921	2650	11771	7457	31897	29356	11737	34213	12353	12689	5-Aminopentanoic acid
CHEBI:30915	C5H6O5	OC(=O)CCC(=O)C(O)=O	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)	Oxoglutaric acid																	701372	214312	19933	360766	104069	184321	1367043	189056	17355	3682	5464	108972	2072980	1126434	74424	434533	272558	45433	189423	480741	30970	157550	556766	11890	148494	75400	167183	69478	53248	7890	36808	50229	2002	6251	9688	7568	695134	3090846	439101	288803	547995	136731	34935	853291	19045	51310	68857	5821	347209	375432	87059	505799	86670	172776	4628	4211	311203	225493	10660	231277	Oxoglutaric acid
CHEBI:18066	C15H24N2O17P2	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8-,9-,10+,11-,12-,13-,14?/m1/s1	Uridine diphosphate glucose																	1286266	695273	570728	1131481	3032263	1491792	571302	1263211	298941	825946	793299	979482	2040303	1078735	1120557	3113013	3175688	1652903	510171	1010853	978374	1035452	1313313	742610	1795814	1294924	2227758	2334838	1137131	2329567	489515	1286550	215906	224310	340723	275219	1110021	777976	1451740	1528037	1193588	2058681	256229	848257	224737	558139	724462	186231	1312782	1622595	881876	2317467	2249567	1670945	1125282	2654199	1097345	1823360	2127592	1045923	Uridine diphosphate glucose
CHEBI:17626	C5H6O4	C\C(=C\C(O)=O)C(O)=O	InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h2H,1H3,(H,6,7)(H,8,9)/b3-2-	Citraconic acid																	18293	16499	16414	23188	6076	11588	15629	13655	11126	12776	2593	10028	16322	5579	12479	21112	16118	7080	22104	10374	19184	8169	18900	19018	7057	3086	2760	23571	5160	8369	12968	9514	7923	5669	16263	9104	20319	35072	21669	28926	22898	19757	18596	5790	12189	2087	13149	8992	9266	14956	26355	16891	12516	23816	10994	19292	25029	20175	14913	19707	Citraconic acid
CHEBI:18307	C15H24N2O17P2	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@H]1O	InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8+,9-,10+,11-,12-,13-,14?/m1/s1	Uridine diphosphategalactose																	634559	340417	206379	564565	1480683	708469	268119	621508	98236	402867	365675	465288	1003433	499180	555976	1520503	1554943	784773	238743	496544	472093	513063	655547	311623	884405	633713	1082993	1136775	550469	1113293	222054	630956	77142	63128	154713	124782	544562	376884	662353	751733	578089	1011193	107155	408298	84144	263633	270654	74362	650638	800222	413754	1128377	1097128	830612	552063	1270100	496071	891171	1045566	123587	Uridine diphosphategalactose
CHEBI:16958	C3H7NO2	NCCC(O)=O	InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)	beta-Alanine																	11942	0	9852	0	6864	8273	1991	6532	16100	28036	33446	7908	9380	16601	16664	15256	5506	22873	21206	4290	1245	4072	1800	2836	7578	3852	11457	26884	600	11939	0	789	0	582	1993	960	12281	34543	11820	21671	3746	20945	5827	9520	10133	31078	9868	3983	16024	15738	21912	7663	31875	21199	9802	7130	9186	32332	21788	8440	Beta-Alanine
CHEBI:17053	C4H7NO4	N[C@@H](CC(O)=O)C(O)=O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1	L-Aspartic acid																	298929	241236	502876	382263	420668	584489	260878	567655	1380362	2615332	2298800	824073	621734	704855	1132691	924186	660751	1267016	968745	96493	95381	179600	148671	393324	264190	131557	316530	1101948	85979	1029326	60792	52944	17640	96690	92414	51168	210719	931470	497457	1300197	614458	1630924	308712	397600	577384	2644155	373921	419326	1077698	873613	1334360	997364	1767129	958821	1059787	838344	1315223	2056156	1526805	454058	L-Aspartic acid
CHEBI:16108	C3H7O6P	OCC(=O)COP(O)(O)=O	InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h4H,1-2H2,(H2,6,7,8)	Dihydroxyacetone phosphate																	33956	12727	3443	21196	11821	51194	65967	50409	5830	2149	618	72067	110146	26490	2334	38093	27695	593	18689	45835	6338	10912	26873	0	20492	23140	7686	10232	1397	4103	9965	10969	3330	0	507	8471	72556	147336	53453	3665	31930	11768	16270	55805	727	1672	5717	0	32019	28812	6309	20541	9308	13315	11648	4892	41145	17184	2131	43633	Dihydroxyacetone phosphate
CHEBI:16238	C27H33N9O15P2	Cc1cc2nc3c(nc(=O)[nH]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n3cnc4c(N)ncnc34)c2cc1C	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	FAD																	121300	10176	26796	92697	117536	155708	111809	108843	30202	23114	47794	100977	166778	25182	27312	179467	237513	34069	33924	139982	98591	262786	200217	10403	284961	185121	503619	72552	156720	158036	213210	785310	88588	93086	78890	222112	325227	36286	302617	169178	407884	65141	24544	184038	20198	54146	181145	31147	42754	84385	34970	146623	48866	136606	4935	10845	70425	91016	6994	61883	FAD
CHEBI:17364	C4H7NO4	N[C@H](CC(O)=O)C(O)=O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m1/s1	D-Aspartic acid																	149640	117712	250811	192840	218644	301273	96111	214624	696869	1330382	1165904	400819	318480	337244	584314	447642	341958	653260	476707	42637	36939	83724	68004	185925	135056	68058	166337	566437	45643	537673	15090	26302	5730	50804	35630	28122	108154	463364	239848	670090	319487	821539	151696	199104	267137	1325077	170944	213004	529170	440688	681686	521709	900227	478308	527579	418329	670925	1038888	773745	226805	D-Aspartic acid
CHEBI:17533	C7H11NO5	CC(=O)N[C@@H](CCC(O)=O)C(O)=O	InChI=1S/C7H11NO5/c1-4(9)8-5(7(12)13)2-3-6(10)11/h5H,2-3H2,1H3,(H,8,9)(H,10,11)(H,12,13)/t5-/m0/s1	N-Acetylglutamic acid																	6007571	2961453	977523	1755250	393327	3863804	2563248	6893555	209677	3917410	91341	2414333	11574231	2438716	1305411	2877590	1359568	1159769	21211723	2770495	696134	2041914	1467401	909489	2051587	2266922	1869293	1856380	119689	915698	949708	353684	59053	36499	71058	99696	383759	2797327	626566	642476	1049946	411936	1335966	5650379	86492	668478	1007265	72033	1758857	1024584	715598	1808580	710833	878890	2048214	418949	180767	920595	282816	214682	N-Acetylglutamic acid
CHEBI:15732	C2H5O5P	OC(=O)CP(O)(O)=O	InChI=1S/C2H5O5P/c3-2(4)1-8(5,6)7/h1H2,(H,3,4)(H2,5,6,7)	Phosphonoacetate																	29818	51729	36096	54886	35018	19590	13948	32635	11567	27434	37625	9232	37019	53900	44688	42063	49210	23576	28626	27447	19732	25157	25461	5925	17157	39706	25808	26738	12162	12447	11316	12094	672	1908	1004	6199	39617	60349	30138	51853	53050	49091	21698	25633	24497	23971	8866	9754	57117	66665	60619	56889	55203	5404	24608	25855	19681	9393	21531	10449	Phosphonoacetate
CHEBI:28189	C12H22O11	OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C12H22O11/c13-1-3-5(14)8(17)10(19)12(23-3)21-2-4-6(15)7(16)9(18)11(20)22-4/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11?,12+/m1/s1	Isomaltose																	8356	25308	25151	62547	19562	15447	53939	55625	36190	15519	3487	9488	59313	29932	11610	48356	6916	10875	36516	25971	16350	5420	18488	16287	18733	1908	6260	4539	6532	15563	19875	15777	3240	16525	14795	21961	49719	33155	38046	13213	21473	43087	16512	10723	25684	5013	7306	19274	74225	27884	53864	14520	6058	7906	14178	5127	17447	26342	33262	19499	Isomaltose
CHEBI:30887	C6H8O7	OC(C(CC(O)=O)C(O)=O)C(O)=O	InChI=1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2,4,9H,1H2,(H,7,8)(H,10,11)(H,12,13)	Isocitric acid																	26939	31948	2382	32168	46103	7756	2964	28036	3982	13491	13171	11043	27683	16807	14010	30768	9267	23752	12613	26240	2391	10297	12541	5315	31882	29413	30956	10177	15292	4283	16350	10528	2146	2060	2987	2316	25701	53513	92874	20830	177044	43548	3954	23849	5897	18253	7048	4109	42286	17215	26211	59421	22587	11699	5635	14649	9014	10153	19429	5454	Isocitric acid
CHEBI:15940	C6H5NO2	OC(=O)c1cccnc1	InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)	Nicotinic acid																	118036	69262	27665	120309	44112	144210	68223	104862	44485	29714	12027	91534	98655	112156	87126	74289	79569	120114	187883	62657	26214	67478	114974	154120	151282	49650	214828	142470	0	84315	84533	109975	13970	12201	38688	27266	171927	372120	127534	92184	69837	159737	28901	25068	22974	30880	31500	14511	212738	262562	172685	44249	397542	133114	118291	195603	88867	69071	125210	78415	Nicotinic acid
CHEBI:15674	C4H6O6	OC(C(O)C(O)=O)C(O)=O	InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)	2,3-Dihydroxybutanedioic acid																	13197	7074	5790	19218	0	0	202748	486751	167341	150932	45171	166570	14354	5925	5525	46047	0	1358	712021	237596	149193	87970	75782	29394	2460	2392	13930	44256	0	0	24913	64160	7223	22336	0	6893	0	13999	57456	18133	11974	17523	230268	298669	164146	350477	36831	19001	27304	4257	46556	29218	4873	4350	697321	398560	270019	393312	47203	27508	2,3-Dihydroxybutanedioic acid
CHEBI:33033	C5H8O3	CCCC(=O)C(O)=O	InChI=1S/C5H8O3/c1-2-3-4(6)5(7)8/h2-3H2,1H3,(H,7,8)	2-Oxovaleric acid																	81194	80229	16219	103329	15994	51283	0	2034	3072	0	2524	10214	66837	19149	2611	11616	14494	0	16639	8289	2557	0	1549	2069	5750	0	859	517	1253	1360	0	4186	1879	1425	1041	953	17373	55841	6071	25913	46114	9031	3379	24044	795	1937	2528	0	2100	6502	1237	21052	2035	4045	0	0	13671	3173	2789	13673	2-Oxovaleric acid
CHEBI:151	C6H8O7	O[C@H]([C@H](CC(O)=O)C(O)=O)C(O)=O	InChI=1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2,4,9H,1H2,(H,7,8)(H,10,11)(H,12,13)/t2-,4+/m0/s1	D-threo-Isocitric acid																	10726	2298	20146	6774	13593	2519	2323	3126	3982	13491	13171	15355	33959	18822	14999	4022	22055	21657	2442	52438	1592	16610	12478	5315	30762	12153	51752	12966	40409	2539	3053	10528	1307	1396	2987	1561	21628	26546	100921	8202	207178	42561	3610	18612	5897	4821	7048	4723	36938	17999	8308	59421	11014	61564	16236	17509	3593	19587	20249	5362	D-threo-Isocitric acid
CHEBI:27956	C6H6O6	[H][C@@]1(OC(=O)C(=O)C1=O)[C@@H](O)CO	InChI=1S/C6H6O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-8H,1H2/t2-,5+/m0/s1	L-Dehydroascorbic acid																	19056	22941	26016	13123	45911	14746	26851	24912	15970	28890	52857	9309	18801	10517	16669	40255	39891	19997	20698	18316	26601	4606	11191	32505	9185	16244	5042	18771	7952	9511	9965	14993	7052	1230	16095	11609	31464	21347	12429	16872	21703	29357	24261	18546	3787	33633	588	21330	40279	38974	23542	10999	36675	26059	8021	4638	7123	2775	0	23639	Dehydroascorbic acid
CHEBI:18300	C4H4O4	OC(=O)\C=C/C(O)=O	InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1-	Maleic acid																	2421	12995	20040	4701	6723	16978	19280	2414	804	6171	7038	8070	19906	12414	14133	13142	25931	13864	5685	9371	4800	17074	3505	8044	16718	21354	9575	11987	1563	5245	16914	10876	3615	4957	11440	2799	20086	20162	5910	4375	18392	13777	4927	11007	468	6050	13251	4298	6149	1283	3854	17700	15624	5100	10849	8226	10876	11186	15247	4726	Maleic acid
CHEBI:10642	C6H12O6	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3+,4+,5-,6-	scyllo-Inositol																	40858	13454	5180	12160	13701	18870	20790	10656	2848	3540	5217	7027	34444	28554	6697	12358	7270	5416	26282	5257	3815	1244	5826	3521	11375	4004	3534	6426	5349	2353	4040	2673	4664	3799	3752	5155	26911	78896	11521	26768	27454	20190	6237	11212	1410	6322	2487	2152	39476	51732	38881	39876	10436	35631	12337	12591	25293	10630	7645	20806	scyllo-Inositol
CHEBI:15346	C21H36N7O16P3S	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS	InChI=1S/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/t11-,14-,15-,16+,20-/m1/s1	Coenzyme A																	754041	9977	4401	482763	490961	552615	1016782	319449	10884	2566	3997	555292	1259592	6903	7625	1167068	293949	7721	13041	307058	699380	700162	525149	4211	1098398	1036873	838977	1699	621823	0	849168	1358671	167837	27488	6714	594584	1676584	257703	1387735	75555	2010197	31342	1915	1269563	4735	4099	1335918	1119	7637	61673	3496	719360	11832	456208	4033	5212	397329	717747	1596	490822	Coenzyme A
CHEBI:741548	C5H8O4	CCC(C(O)=O)C(O)=O	InChI=1S/C5H8O4/c1-2-3(4(6)7)5(8)9/h3H,2H2,1H3,(H,6,7)(H,8,9)	Ethylmalonic acid																	4986	70055	12929	12423	651	6618	13977	0	0	155	2282	6460	26179	65828	42533	3032	32525	62069	12942	2576	3981	1344	6000	6230	7790	1537	4652	18287	2475	9471	0	1903	0	3288	2903	3076	39423	190208	39545	130488	22930	97515	15442	1690	1478	11870	2088	12738	89187	151332	114632	28244	152843	62474	4204	8661	8271	1614	10146	2793	Ethylmalonic acid
CHEBI:30838	C5H6O4	C(C(CC(O)=O)=C)(O)=O	InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h1-2H2,(H,6,7)(H,8,9)	Itaconic acid																	3127933	1890205	1142649	3440531	2453049	2534388	2418748	2055299	1066590	2237016	450881	2971399	25968	26338	11733	27075	5041	1246	19395	6212	2582	6939	0	1291	1747	2308	8278	8003	0	0	8942	2644	0	1027	1188	0	15618	50858	27872	27910	29615	15522	1116	9065	2244	10344	4749	2330	28790	40094	17825	48108	22886	15245	1607	3552	5104	17348	3216	7072	Itaconic acid
CHEBI:32796	C5H8O5	O[C@H](CCC(O)=O)C(O)=O	InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)/t3-/m1/s1	D-2-Hydroxyglutaric acid																	48068457	27750306	16503049	54046948	36510239	38610899	36561411	30640244	15805937	34667840	5901513	47500068	312457	239368	92784	372125	66166	43057	188323	56499	25929	48763	38192	23670	55907	24467	80899	179327	20415	23337	40677	17886	10353	5429	7736	26760	157430	590376	255447	282878	305900	138838	18948	112819	22758	82859	31060	15715	309333	467358	229287	646700	247160	116010	54922	52122	58745	171495	33876	74650	D-2-Hydroxyglutaric acid
CHEBI:20607	C10H15N3O5	Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)nc1N	InChI=1S/C10H15N3O5/c1-4-2-13(10(17)12-8(4)11)9-7(16)6(15)5(3-14)18-9/h2,5-7,9,14-16H,3H2,1H3,(H2,11,12,17)/t5-,6-,7-,9-/m1/s1	5-Methylcytidine																	14565	4219	40947	36758	34032	30878	11134	10356	37959	42034	27502	17177	29851	22571	6812	3252	19051	13247	112668	75965	15207	3450	59597	23925	2940	6406	8332	11835	1373	4932	4894	14440	0	0	1241	0	11631	46233	7092	8980	35837	6319	25635	9716	6311	18364	22001	886	35819	29004	12961	7113	41566	51255	80794	56742	116750	58054	38050	6982	5-Methylcytidine
CHEBI:33830	C6H10O7			Galacturonic acid																	3821	1654	3725	4909	2398	3158	4295	4553	3963	8381	6579	11950	3191	1338	3960	5137	2298	6763	12884	13559	4486	34600	37464	9221	14130	13657	11811	16707	9342	6556	16500	5838	0	2570	4183	2657	21269	28285	19316	14684	13332	13642	32954	48554	47273	234895	60889	59400	9055	7699	3625	5440	8366	6051	9126	7581	8491	6176	7776	4303	Galacturonic acid
CHEBI:17351	C18H32O2	CCCCC\C=C/C\C=C/CCCCCCCC(O)=O	InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-	Linoleic acid																	58881	41508	25646	21354	71354	93528	28273	70528	43370	44269	23653	49096	16365	13976	21781	33377	107522	7159	87072	102168	87145	116426	45858	54532	25657	7624	14550	3453	8753	34935	69616	62048	74846	103794	137061	137903	56050	48391	43603	23980	53070	27352	57561	63702	89460	71538	119279	98943	75008	18763	14422	33754	12261	6161	133176	84629	47921	58076	39642	100249	Linoleic acid
