database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	102.100.100/50913	102.100.100/50914	102.100.100/50915	102.100.100/50916	102.100.100/50917	102.100.100/50918	102.100.100/50919	102.100.100/50920	102.100.100/50921	102.100.100/50922	102.100.100/50923	102.100.100/50924	102.100.100/50925	102.100.100/50926	102.100.100/50927	102.100.100/50928	102.100.100/50929	102.100.100/50930	102.100.100/50931	102.100.100/50932	102.100.100/50933	102.100.100/50934	102.100.100/50935	102.100.100/50936	102.100.100/50937	102.100.100/50938	102.100.100/50939	102.100.100/50940	102.100.100/50941	102.100.100/50942	102.100.100/50943	102.100.100/50944	102.100.100/50945	102.100.100/50946	102.100.100/50947	102.100.100/50948	102.100.100/50949	102.100.100/50950	102.100.100/50951	102.100.100/50952	102.100.100/50953	102.100.100/50954	102.100.100/50955	102.100.100/50956	102.100.100/50957	102.100.100/50958	102.100.100/50959	102.100.100/50960	102.100.100/50961	102.100.100/50962	102.100.100/50963	102.100.100/50964	102.100.100/50965	102.100.100/50966	102.100.100/50967	102.100.100/50969	102.100.100/50970	102.100.100/50971	102.100.100/50972	metabolite
CHEBI:32365	C17H34O2	CCCCCCCCCCCCCCCCC(O)=O	InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)	Heptadecanoic acid																	55528	37111	42567	41248	32344	50888	49484	61068	29054	36255	39394	59265	55749	35044	21363	27170	48951	36306	70411	75885	120661	167176	65072	136787	20922	20669	26345	16599	19369	20632	31809	35592	38324	32890	28415	30590	49271	54967	54381	38058	64187	35675	61091	70111	87986	41454	59473	71344	31196	34247	24208	31502	25179	32310	26980	37060	44849	21196	29772	Heptadecanoic acid
CHEBI:16600	C5H6O4	C\C(=C/C(O)=O)C(O)=O	InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h2H,1H3,(H,6,7)(H,8,9)/b3-2+	Mesaconic acid																	956281	72047	19314	401309	34234	528315	1107459	162924	13398	11078	6047	135443	466649	49681	4034	362300	214539	6405	9429	259700	6206	40800	120825	3418	81957	147694	33327	15685	87104	7373	8437	27141	7897	2035	2492	3788	1051672	34831	578989	16574	548252	8253	7752	242601	3727	9281	24585	2787	19543	24759	9252	281549	9993	76786	8303	480764	14741	6455	264859	Mesaconic acid
CHEBI:17113	C4H10O4	OC[C@H](O)[C@H](O)CO	InChI=1S/C4H10O4/c5-1-3(7)4(8)2-6/h3-8H,1-2H2/t3-,4+	Erythritol																	38740	27070	23347	24218	25584	42128	7236	6568	4006	5576	3175	5436	64822	23089	20544	26524	37150	39396	9510	3638	1267	1919	5926	3133	13154	5059	17543	24356	3384	21088	970	1827	1151	287	1312	927	22786	30217	25085	15358	28405	22974	2018	6969	1326	1061	5199	1049	34612	35983	22286	32863	25872	36845	4297	6235	3762	6039	6272	Erythritol
CHEBI:16643	C5H11NO2S	CSCC[C@H](N)C(O)=O	InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1	L-Methionine																	309950	81151	35424	146727	44679	103567	857394	662517	15935	317996	20287	382160	1372924	227717	41437	108985	398465	76586	1864927	405399	43397	79698	921768	50711	107132	57995	58861	126799	3962	37416	20133	170282	11288	2961	813	17197	97348	791572	88497	77672	805874	31409	92253	1375488	26124	81801	543776	19621	81259	187115	77328	252416	80747	144109	471487	324448	382412	208281	416853	L-Methionine
CHEBI:89843	C5H8O4			Methylsuccinic acid																	66658	30223	7226	27474	4529	18462	89717	111760	4768	21247	3622	24128	6710	56785	3223	10351	53660	3295	45995	33857	21089	17822	14407	14910	2908	5130	2417	6500	3796	3387	18240	139913	11753	9792	12983	7965	57448	69807	20283	8139	12354	4100	141607	186183	154379	74364	45628	60611	24048	32500	10093	6694	14801	2437	50793	46579	9808	10249	20795	Methylsuccinic acid
CHEBI:95115	C6H10O3	CC1(CCOC(=O)C1)O	InChI=1S/C6H10O3/c1-6(8)2-3-9-5(7)4-6/h8H,2-4H2,1H3	Mevalonolactone																	56573	46129	28530	23133	15626	30717	10052	8405	6008	19841	9321	9554	13527	12443	6643	4378	7017	7371	14381	4919	3089	5346	6067	4761	5832	0	3214	6577	0	3233	0	2462	0	0	0	0	10303	19575	5943	9049	10477	8356	3924	7211	2261	3901	4478	1751	7981	10006	6582	6009	8100	9513	16182	7002	8990	14156	7923	Mevalonolactone
CHEBI:28875	C14H28O2	CCCCCCCCCCCCCC(O)=O	InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)	Myristic acid																	324251	420623	320452	254466	827828	1125985	269312	269016	213607	279316	281004	671738	194538	273836	201312	214551	233825	534897	531860	244545	399669	497279	366794	513052	352611	261883	795743	525068	255153	1130783	266771	286371	260728	261614	259277	354492	705183	716354	769614	585690	637617	1737502	384282	385556	480567	342946	399725	686826	206870	259540	193629	171050	213965	387282	214382	233909	324646	186825	1189608	Myristic acid
CHEBI:17752	C8H16N2O3	CC(=O)NCCCC[C@H](N)C(O)=O	InChI=1S/C8H16N2O3/c1-6(11)10-5-3-2-4-7(9)8(12)13/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)/t7-/m0/s1	N6-Acetyl-L-lysine																	21524	0	0	7955	19317	41302	44710	34231	42667	45101	64725	17160	32695	13265	12198	15340	34098	14944	51124	46948	11948	21402	9088	8975	51711	11425	31656	0	19415	27679	22449	20707	34754	16144	27146	18850	19108	15327	33483	35565	14732	15998	20433	2781	24052	74669	34965	36230	22826	0	38029	70153	40458	35050	154165	223510	144904	78641	47208	N6-Acetyl-L-lysine
CHEBI:21547	C6H9NO5	CC(=O)N[C@@H](CC(O)=O)C(O)=O	InChI=1S/C6H9NO5/c1-3(8)7-4(6(11)12)2-5(9)10/h4H,2H2,1H3,(H,7,8)(H,9,10)(H,11,12)/t4-/m0/s1	N-Acetyl-L-aspartic acid																	129230	87015	58809	65203	75077	101904	34171	38207	39124	180485	52329	50631	40973	34975	29610	34404	37071	38003	96226	10355	11806	42342	10867	24843	135938	19472	87060	162654	12168	86207	1508	2371	212	1256	552	877	75971	76035	60830	92505	79506	87712	52753	57445	27004	72133	55000	44477	41634	40734	33378	53238	60686	53693	93160	35677	87738	83124	41208	N-Acetyl-L-aspartic acid
CHEBI:62164	C8H15NO6			N-Acetylmannosamine																	703076	2244271	2514543	1131864	1646859	1081514	22493	136817	260528	167268	200874	97168	64048	2310744	2000078	461075	1911849	2227657	152906	47356	40092	99801	39101	203709	682939	448190	546045	2328285	372553	2340885	27331	54842	0	52117	53777	0	239616	1075610	407908	2479547	149398	2700194	236248	66186	151401	121949	0	171227	788063	578728	350201	211071	599849	199957	23879	0	0	47951	41774	N-Acetylmannosamine
CHEBI:21563	C11H13NO4	C([C@H](CC1=CC=C(C=C1)O)NC(C)=O)(=O)O	InChI=1S/C11H13NO4/c1-7(13)12-10(11(15)16)6-8-2-4-9(14)5-3-8/h2-5,10,14H,6H2,1H3,(H,12,13)(H,15,16)/t10-/m0/s1	N-Acetyl-L-tyrosine																	11514	33509	21027	14969	11275	12236	39733	28528	48009	54081	38160	27349	3747	10302	9945	4573	4642	17389	42732	14473	3831	11284	14412	13174	10105	2762	8312	43791	0	11786	1175	4265	0	0	0	0	7673	50954	7963	22532	7304	25216	13037	26785	6760	14169	6132	3720	30907	43882	17761	10860	32151	10160	38688	18616	39823	37738	17600	N-Acetyl-L-tyrosine
CHEBI:17154	C6H6N2O	NC(=O)c1cccnc1	InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)	Niacinamide																	23029072	12378121	10899199	23168307	22580825	24189981	22821850	22283133	16628172	13051178	15427187	21944786	24801662	13038480	13314199	23863611	22873400	12343140	17214002	19193194	14363950	21322847	20202964	13385424	22636053	16579616	24271987	24114904	7791268	13498592	4928179	17251128	2001326	1722613	1355100	4956878	23067158	15093490	22638432	15087312	24750774	14377224	7892400	20892328	9857238	15886066	20050911	9967108	6497077	9906914	6160844	21057252	10096136	20992856	10154634	19994819	22580275	10563392	18192554	Niacinamide
CHEBI:15940	C6H5NO2	OC(=O)c1cccnc1	InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)	Nicotinic acid																	1121076	2355494	1073224	1286037	880465	1517415	1181864	1471272	1218742	1187971	519222	894721	1680151	3307713	1538918	1248706	1546292	1208984	1569038	1300723	619906	1440150	1236751	685951	912431	510638	1107972	2230716	243206	631781	892207	1143119	249608	305333	364513	528678	1253923	1980014	1137512	1018339	1504550	1146193	666077	921921	407142	536226	635660	255344	2147514	1605941	1143497	948140	1465932	823132	999126	931288	1400852	790185	817988	Nicotinic acid
CHEBI:29019	C9H18O2	CCCCCCCCC(O)=O	InChI=1S/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)	Pelargonic acid																	178457	578016	547694	286564	210854	222788	192963	206369	652401	675918	659093	153642	161954	550481	545416	150330	519612	691156	591391	194099	247608	224184	170745	713641	188099	144507	290201	594793	202629	635956	213628	172949	212058	463782	521214	158685	255184	523949	200183	438240	214973	713300	710900	181782	551042	698885	234247	714916	443343	619229	634366	209257	660997	127750	664437	307801	211284	659821	252298	Pelargonic acid
CHEBI:28837	C8H16O2	CCCCCCCC(O)=O	InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)	Caprylic acid																	64975	294482	322671	90445	61944	81848	64705	71841	357100	355320	408357	45867	59904	301878	357107	52361	224626	416361	412991	64046	99254	77989	55273	462251	65977	40891	112465	407389	50799	365008	53346	64423	40556	285858	302410	41892	99638	264780	96722	255454	85903	403493	433354	84342	371438	433405	83068	390167	245815	390264	373196	56837	363898	51368	411258	75473	51609	353437	95371	Caprylic acid
CHEBI:16196	C18H34O2	CCCCCCCC\C=C/CCCCCCCC(O)=O	InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-	Oleic acid																	73687	34819	49113	46854	28156	50211	61542	121360	40909	76072	93792	93175	50336	40497	35180	53409	50806	56803	170884	145729	97912	92226	88175	152640	34822	76476	43581	41120	44763	38865	140201	104158	149457	235998	201886	180123	50131	40662	59679	25800	91486	43759	132826	159986	196559	111634	99286	187548	62155	75050	41391	58356	35524	64977	79722	86508	78256	75222	58233	Oleic acid
CHEBI:15756	C16H32O2	CCCCCCCCCCCCCCCC(O)=O	InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)	Palmitic acid																	2902892	1764864	2721465	2827830	2108984	2346551	2187740	3445220	2093302	2581731	2483163	3230195	2718898	2683194	1677746	1822764	2661432	2781447	3804273	3522029	3949542	5108731	3480095	5222389	2718392	3396633	2269270	1964237	2199520	2714239	4244086	3453742	3508105	5334229	3803278	4834363	3267542	2815930	2863022	1937231	4414327	2484066	3108432	3641874	4458339	2604944	2867379	6118986	3919177	3299631	1798145	2708753	2227409	2730196	2608384	2654702	2760507	2150692	2199204	Palmitic acid
CHEBI:28716	C16H30O2	C(CCCCCCC/C=C\CCCCCC)(=O)O	InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/b8-7-	Palmitoleic acid																	57520	67177	189646	63392	59570	90965	37252	57853	61029	66111	98350	74626	31668	41168	73511	41835	44108	84642	96539	72156	83917	135433	57060	224858	43470	50430	114701	64772	83461	294420	87795	90946	117029	184022	220900	118324	69191	48863	83800	202611	68418	135793	77086	60641	121479	87785	38909	106608	52563	69110	84926	32353	94576	35535	54997	48835	62408	64838	88342	Palmitoleic acid
CHEBI:7916	C9H17NO5	CC(C)(CO)C(O)C(=O)NCCC(O)=O	InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)	Pantothenic acid																	4373376	3088943	3408325	2997017	2551185	5875554	4190353	4303035	3902354	6292387	3040375	5377448	5901668	4735253	3321952	3229147	3226114	3332527	5030350	3010757	1330697	2993455	4607107	2264254	3697666	1215704	3777760	5086873	552834	2703448	266496	2011487	190586	218287	361398	319472	4477687	7076017	4798503	4162845	4804769	4550827	2886998	4336677	1992932	3767451	3467309	2021762	3576488	4870720	3579621	4237207	3435487	4400729	4810101	3689362	4984578	4092995	3992100	Pantothenic acid
CHEBI:30745	C8H8O2	OC(=O)Cc1ccccc1	InChI=1S/C8H8O2/c9-8(10)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)	Phenylacetic acid																	328930	237866	247378	588056	555368	574887	43137	114905	177116	48019	62735	51486	37605	63271	62135	213257	70557	96862	34361	50203	33834	54626	38072	16445	197256	94612	141916	156936	70283	86475	22239	37627	12425	16209	21853	16726	356020	123274	469213	235583	154314	307488	19157	88154	20190	21456	70416	16227	141805	126152	110702	414480	116258	288794	15833	61356	47853	23340	51729	Phenylacetic acid
CHEBI:17295	C9H11NO2	N[C@@H](Cc1ccccc1)C(O)=O	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	L-Phenylalanine																	11494083	6876511	5865776	5439671	6293247	9246569	11803324	8441823	6673307	5266500	4506026	4491497	13192781	3200698	2959388	5927416	5558793	3075584	25169240	10709841	4411541	5322794	12627980	3481685	7673538	5810167	5898663	3558632	1353360	3799027	2223023	8858925	834713	1025635	797551	1077323	10686198	19599178	9389393	4309221	21005133	5636526	5947001	24909128	3170898	4088788	20288008	1689266	5118792	3381363	7409293	12169732	5751195	14428973	18233738	13195695	12093246	8671189	9930893	L-Phenylalanine
CHEBI:44897	C3H5O6P	OC(=O)C(=C)OP(O)(O)=O	InChI=1S/C3H5O6P/c1-2(3(4)5)9-10(6,7)8/h1H2,(H,4,5)(H2,6,7,8)	Phosphoenolpyruvic acid																	802359	588990	556920	1130858	736545	320214	226517	502135	240104	657114	682616	107327	1174087	663617	365405	1097194	1538524	232995	867362	703049	154863	323331	503321	235401	863405	432583	713562	1536958	291064	242820	48965	212562	52971	71826	66624	25404	790090	1194323	509613	1022624	1543738	592174	364460	261885	345008	456863	232009	150388	1275796	1782293	960333	1432616	1381397	726502	623148	203020	248434	515095	68326	Phosphoenolpyruvic acid
CHEBI:26078	H3O4P	[H]OP(=O)(O[H])O[H]	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)	Phosphoric acid																	68432041	70337512	71153267	72659077	67416090	74021081	64752544	67795334	65837038	68951704	66873915	66331760	75710359	80613810	74176983	71560494	74193239	76838836	67446773	64188190	58689965	62806727	64875140	60576119	70932139	59891585	71470931	82098490	50806334	65311649	64194172	54214262	46887677	46608392	46307155	49947543	73474525	81810820	72490639	70774274	74319900	72576381	61096290	65308170	58782093	55070711	63215039	52150421	74458448	86562016	75037234	79998242	80184436	80079198	69480594	71987136	75998049	65557563	70381263	Phosphoric acid
CHEBI:17203	C5H9NO2	OC(=O)[C@@H]1CCCN1	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1	L-Proline																	11761591	8100674	4824556	7205639	7725526	4235711	4845426	4101136	2975011	11020327	1182002	4998777	20474386	11349165	6300512	11642764	12937175	4729638	11841833	3713571	1900316	6024599	5762093	1671862	6202388	2233852	6993235	14283703	1518917	4198599	790166	3355940	282427	535233	529682	516399	6894014	5881429	7136208	4233952	16869232	3040983	3189819	1588712	832885	5329377	3996221	2043106	5108707	269979	6812966	17531973	5374165	13220558	5704466	2988865	8691588	3382583	3487335	L-Proline
CHEBI:16164	C6H6O3	Oc1cccc(O)c1O	InChI=1S/C6H6O3/c7-4-2-1-3-5(8)6(4)9/h1-3,7-9H	1,2,3-Trihydroxybenzene																	17756	26788	18149	30529	17604	31489	19972	24423	24272	37206	24835	25769	10253	12010	10336	8284	10453	19504	28366	17280	7412	20478	15401	18506	11042	12349	22073	46835	11587	24651	7473	7974	7618	9106	9922	4157	10217	11734	14752	24240	8449	14614	19803	34520	10665	25330	12414	13541	12263	19124	12831	10530	12424	6578	24104	22580	16600	20812	17554	1,2,3-Trihydroxybenzene
CHEBI:32816	C3H4O3	CC(=O)C(O)=O	InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)	Pyruvic acid																	844242	401484	324509	651528	231800	520045	531986	385735	218375	230036	328962	170467	3776637	526007	295252	873635	371717	415902	295441	402433	106132	211120	313454	147548	779455	203945	642610	974551	90110	183081	48664	139096	49360	51849	39438	52857	1160796	1058823	756277	505876	2361518	394274	237467	748924	114759	218607	185242	90204	536015	991554	445081	1511690	451344	1718757	445112	400513	395677	220501	471709	Pyruvic acid
CHEBI:78679	C5H11O8P			D-Ribose 5-phosphate																	1592018	6382653	3785122	1913028	1676347	1800295	2221358	2430593	3286817	5224514	2898505	1395550	3386110	7633035	4053878	1419885	3278214	3827236	6539667	925338	484207	1184288	1150192	2658851	1694387	842228	2355919	7891176	383020	3196133	91098	757713	63224	226746	185932	113185	1511795	9438096	1799924	4386542	1835746	4058853	2992810	1579133	1196860	3583151	860724	1231539	3974461	5779646	3040200	2078485	4325797	1208487	5572677	1172662	1561377	3793460	1355696	D-Ribose 5-phosphate
CHEBI:16988	C5H10O5			D-Ribose																	286186	334027	227754	422020	291671	400884	309092	247020	198126	119311	111050	265802	489316	293419	159525	281287	284996	177488	158422	265099	170356	264362	246371	119507	251135	173764	429396	709156	66485	186960	110549	284843	52370	15415	13205	76891	532898	596826	580757	311331	515352	408036	105517	308055	63606	75887	172667	50401	637363	506278	399721	508299	430612	374914	97878	234294	292388	140963	256963	D-Ribose
CHEBI:15721	C7H15O10P	OCC(=O)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O	InChI=1S/C7H15O10P/c8-1-3(9)5(11)7(13)6(12)4(10)2-17-18(14,15)16/h4-8,10-13H,1-2H2,(H2,14,15,16)/t4-,5-,6-,7+/m1/s1	D-Sedoheptulose 7-phosphate																	796760	88223	18490	437122	411472	326675	433386	262868	36061	13992	12448	236556	933438	74042	9170	413269	433076	15493	37391	334360	106879	278043	217833	9393	284587	183862	159820	51414	106197	0	35045	73408	15655	0	0	40721	494245	63362	379746	0	530528	0	25695	245872	0	0	150342	0	113723	100776	17073	566312	31019	449609	23511	158916	132995	18389	127745	D-Sedoheptulose 7-phosphate
CHEBI:17115	C3H7NO3	N[C@@H](CO)C(O)=O	InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1	L-Serine																	3853349	3062446	1469850	2210738	1947000	1196901	1040086	1397334	443936	1017926	522422	601348	3301548	1879452	833687	1730616	1838288	652211	1787903	982225	412030	705186	805885	381487	2210065	1747751	1538797	1305925	530116	1134899	481721	1120711	752287	314255	157943	206888	1482626	926673	1261613	878174	2510244	681557	568283	788589	407499	623452	901670	350915	766619	327112	869226	2182444	1166160	1391743	1087875	736687	1231921	1303477	699816	L-Serine
CHEBI:30911	C6H14O6			Sorbitol																	1281303	323226	1461311	2112889	236637	353496	9578914	385749	748142	155618	222755	162863	1520723	779891	362515	867481	818476	276982	1836619	330101	194601	995342	283255	450078	269658	290869	170378	173722	439559	92533	2766777	154633	871234	5583823	35675	118523	906508	1160666	859341	294781	788705	10983455	586491	149113	849109	113856	731126	184103	1070131	2348195	309673	1366308	1701291	645910	2397661	400557	209201	229114	153546	Sorbitol
CHEBI:17266	C6H12O6			L-Sorbose																	900777	631098	329139	516425	484744	472016	614649	245590	951145	121761	120873	213072	1631619	545788	180960	541088	786350	211070	174331	289847	77299	121364	272504	73463	330813	253665	179447	303072	150172	88019	62679	87241	23847	0	0	46011	1168587	1636157	909633	544842	992424	484849	107484	234705	146921	76748	145539	65297	842269	1037019	424011	1203685	817235	1119137	110250	405327	127444	84615	253383	L-Sorbose
CHEBI:28842	C18H36O2	C(CCCCCCCCCC)CCCCCCC(=O)O	InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)	Stearic acid																	1757889	1177551	1877699	1824688	1484222	1297338	1270400	2005332	1368864	1578412	1362241	1919614	1750590	1567763	1071371	1183301	1603411	1452046	1692516	1750807	1820396	1536379	2129099	2084718	1889076	2032425	1219230	1252101	1387561	1309334	2479271	1910629	2022951	3117710	1888172	2354808	1972558	1313081	1614904	1054563	2541095	1492008	1829449	2066523	2248267	1327501	1874243	3669465	2727016	2265056	1174425	1928902	1442718	2036025	1915674	1780580	1709350	1405020	1155541	Stearic acid
CHEBI:15741	C4H6O4	OC(=O)CCC(O)=O	InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)	Succinic acid																	34853689	35233138	34075708	35477020	34597299	39401263	24334595	28273166	20781566	30698306	22106933	28083298	39357938	39749543	36868709	37940751	38342769	40836914	32960664	26092337	23969678	29068933	25299034	26893682	36010867	29178927	38213223	45817313	22841768	36701596	14438226	19739454	7143704	4989904	11737505	16412782	35941878	36779632	35664497	35140953	36490109	36963954	25927937	27037794	21398707	27629004	24865059	22738859	35970820	38420199	33627623	36246709	35770563	36998119	30993413	24748239	31931957	30624138	27927928	Succinic acid
CHEBI:17992	C12H22O11	OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1	Sucrose																	151114	46050	116130	66863	61833	73650	60745	122899	69896	81313	70767	45888	73122	253674	65636	267062	73316	257850	82529	95058	102478	72949	51115	64831	68608	123236	56068	85109	117467	101088	111079	199858	46238	82458	58881	95357	111463	84830	3127909	72589	113701	90079	91097	207838	121068	147329	220470	128471	81945	110789	63331	321175	59643	143589	95344	210104	204999	135354	91064	Sucrose
CHEBI:15674	C4H6O6	OC(C(O)C(O)=O)C(O)=O	InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)	2,3-Dihydroxybutanedioic acid																	36682	18057	31810	22044	8911	9193	430778	464761	242653	154341	95744	64898	19556	16358	16390	15159	12160	12574	552878	365480	235808	110065	148779	83207	7488	6802	11396	64110	0	8127	10657	127070	21454	42352	10630	5991	18753	30709	41126	31051	11508	23926	340119	479288	207653	97632	94284	33566	26915	22705	35817	18551	17168	5459	279193	370667	204069	76762	53294	2,3-Dihydroxybutanedioic acid
CHEBI:16857	C4H9NO3	C[C@@H](O)[C@H](N)C(O)=O	InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1	L-Threonine																	1336431	1114165	572666	553791	1128277	616855	279139	236646	295301	289710	222652	204958	879027	701862	466392	814188	1126732	469800	346765	765937	201096	395911	452284	222629	504434	471932	736050	652187	374426	521825	280016	410272	183358	192192	103975	167630	868543	565305	604006	469257	1689886	375285	149058	153006	140498	182935	232529	94827	311474	293575	508177	821829	661186	675733	244535	553890	446762	559482	308716	L-Threonine
CHEBI:17748	C10H14N2O5	Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O	InChI=1S/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)/t6-,7+,8+/m0/s1	Thymidine																	31043	84911	17529	52629	46046	47270	44291	34816	36745	19636	13643	25142	60516	38935	19596	42206	36596	23027	28551	51584	15161	32595	44436	15180	40390	12835	42998	107654	4202	24782	8527	72197	10680	1601	3224	4125	47555	43259	48390	20806	48756	28536	13089	32768	10802	12725	14410	5761	17149	22118	8665	25343	17636	20220	12467	20834	23624	9443	19799	Thymidine
CHEBI:17821	C5H6N2O2	Cc1c[nH]c(=O)[nH]c1=O	InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)	Thymine																	752429	764233	700027	594511	291197	824115	433897	407004	492112	384388	261988	413389	799740	830622	665566	515676	565454	794476	506372	517871	164534	282234	299448	276759	635959	432949	759633	845729	261339	738579	249276	205116	166263	153985	211302	130191	629607	582106	549823	489967	475627	596931	311997	311526	323329	308614	132269	280651	413682	320809	344394	279918	254345	393963	304153	276615	213281	194925	305051	Thymine
CHEBI:27082	C12H22O11	OC[C@H]1OC(OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C12H22O11/c13-1-3-5(15)7(17)9(19)11(21-3)23-12-10(20)8(18)6(16)4(2-14)22-12/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11?,12?/m1/s1	Trehalose																	56640331	56581688	49388309	50069302	43267269	48287171	50394634	34550628	52602399	35126542	41475194	29992886	57967287	58456727	40090098	39751160	47680081	48681220	53604455	23775493	1513793	2962099	20954942	4091174	38190559	32223955	16838059	17518939	10465326	37398599	1438229	2077856	877002	2485654	2098564	353629	50944847	68965851	57810869	60578071	56239447	58992126	20716918	20808035	18243787	13271104	11556300	6479927	61844858	69038209	63052016	62729156	62173488	61926374	38501852	49893150	17186389	22137470	37334305	Trehalose
CHEBI:28621	C6H15NO3	OCCN(CCO)CCO	InChI=1S/C6H15NO3/c8-4-1-7(2-5-9)3-6-10/h8-10H,1-6H2	Triethanolamine																	54485	14573	24055	14079	16483	11087	11317	24580	19971	19995	20967	12922	16418	25920	15280	24705	30552	51631	45177	17302	26021	22730	17717	31178	17318	20897	15681	29435	13157	17567	10548	46499	282832	17046	23842	15710	26673	26395	31120	12060	34762	20388	13207	22357	18438	14902	18990	17713	15941	41844	10953	22063	13400	30682	33947	54753	26859	23918	19421	Triethanolamine
CHEBI:17895	C9H11NO3	N[C@@H](Cc1ccc(O)cc1)C(O)=O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	L-Tyrosine																	10882334	11393171	12088698	8431930	18962605	19208284	25063651	24385950	20234947	26302692	21693024	23597425	11174696	3805740	7108526	6456950	13650241	9060786	27451449	20645995	10900203	18940508	20866697	19324307	17574531	4103411	14726351	678616	5468568	16165556	3868182	14417201	2347532	2967457	2950190	3879380	8629819	7627638	16992895	8654876	11665905	9513833	19587210	19128397	12122465	21151766	23400661	12305480	13098651	3590774	18366585	20594673	17171542	17578629	25891456	24316898	23667900	25344762	23628127	L-Tyrosine
