database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	102.100.100/50913	102.100.100/50914	102.100.100/50915	102.100.100/50916	102.100.100/50917	102.100.100/50918	102.100.100/50919	102.100.100/50920	102.100.100/50921	102.100.100/50922	102.100.100/50923	102.100.100/50924	102.100.100/50925	102.100.100/50926	102.100.100/50927	102.100.100/50928	102.100.100/50929	102.100.100/50930	102.100.100/50931	102.100.100/50932	102.100.100/50933	102.100.100/50934	102.100.100/50935	102.100.100/50936	102.100.100/50937	102.100.100/50938	102.100.100/50939	102.100.100/50940	102.100.100/50941	102.100.100/50942	102.100.100/50943	102.100.100/50944	102.100.100/50945	102.100.100/50946	102.100.100/50947	102.100.100/50948	102.100.100/50949	102.100.100/50950	102.100.100/50951	102.100.100/50952	102.100.100/50953	102.100.100/50954	102.100.100/50955	102.100.100/50956	102.100.100/50957	102.100.100/50958	102.100.100/50959	102.100.100/50960	102.100.100/50961	102.100.100/50962	102.100.100/50963	102.100.100/50964	102.100.100/50965	102.100.100/50966	102.100.100/50967	102.100.100/50969	102.100.100/50970	102.100.100/50971	102.100.100/50972	metabolite
CHEBI:15978	C3H9O6P	OC[C@@H](O)COP(O)(O)=O	InChI=1S/C3H9O6P/c4-1-3(5)2-9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)/t3-/m1/s1	Glycerol 3-phosphate																	9168222	2126530	3536645	5371581	5633006	9508460	8120774	5793354	3012309	2748487	2498925	7050839	6143688	2173091	2506955	6603403	8871373	1956573	2388609	7023335	7776755	12885075	10606738	4593612	10194305	7409468	17787981	4623586	11516610	4518553	4766527	12662136	2696045	2377135	1798020	5875762	8626566	3134755	8688964	3937560	14356605	3934839	2435285	5256682	3182467	2450065	7163436	2297665	1801915	2206838	2387580	5611779	4405027	6206460	1595621	5236180	4999404	1760980	4065901	Glycerol 3-phosphate
CHEBI:15428	C2H5NO2	NCC(O)=O	InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)	Glycine																	25504392	10245872	5170180	8392534	9344184	8230796	7154329	4588070	2262230	5401565	1311477	5144109	17062348	6518144	2545453	12969996	13323990	1996290	15711357	19165456	6700158	15126962	6049112	3914982	6939984	8713222	8193631	2409663	6111081	3732930	4025947	1930458	1982359	500090	718165	2195382	19405834	5034969	6480350	3035894	21662808	3683082	6030177	3720108	3832708	3034061	4587328	3144211	4151133	816109	3081371	13472571	4213847	13409700	6770822	12384922	6073121	4980966	5321003	Glycine
CHEBI:17497	C2H4O3	OCC(O)=O	InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)	Glycolic acid																	2306007	7016135	2870287	5697690	6545207	5212215	6780803	8035313	4144707	10291673	4992958	5578862	650306	1281368	925476	573958	760314	1389031	6488120	613091	609745	3321214	733872	1869964	1973771	693098	1409251	6312351	265877	1999451	287094	760117	189998	348446	335074	238454	726096	2202273	1167274	3281137	613897	2597060	3654616	4489625	807764	4686630	2118789	904108	1819780	2221845	1280510	1016038	1666540	703268	5397585	1610060	8405997	4055770	2438852	Glycolic acid
CHEBI:16235	C5H5N5O	C12=C(N=C(NC1=O)N)NC=N2	InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)	Guanine																	43814	83080	45662	34051	121782	100057	21365	97595	34108	14288	8469	29442	699821	120644	47555	14817	523390	65510	95673	144248	54042	17301	26981	20102	57161	73944	143794	0	40564	20707	236243	50606	136266	110599	53387	197994	37822	102556	310409	22096	172419	22038	19850	15264	0	26532	146547	14086	62782	6708	70583	389035	266434	79425	22746	20450	0	31091	41467	Guanine
CHEBI:17588	C4H9NO2S	N[C@@H](CCS)C(O)=O	InChI=1S/C4H9NO2S/c5-3(1-2-8)4(6)7/h3,8H,1-2,5H2,(H,6,7)/t3-/m0/s1	L-Homocysteine																	407066	207705	162282	202197	693947	379485	331369	351421	216696	266136	178188	298363	679583	158891	135022	540899	413050	170569	655248	613330	321938	1410505	161140	450050	390973	133504	267342	281148	36451	256459	25074	117115	5416	9241	6767	18060	664336	129353	228288	304892	1285092	232720	305263	121910	128372	460479	589908	178807	87359	106448	109757	872016	417443	760121	661486	579990	963672	518601	388170	Homocysteine
CHEBI:15699	C4H9NO3	N[C@@H](CCO)C(O)=O	InChI=1S/C4H9NO3/c5-3(1-2-6)4(7)8/h3,6H,1-2,5H2,(H,7,8)/t3-/m0/s1	L-Homoserine																	28077	27894	7652	40754	38132	42547	99144	97832	27777	107083	35445	65471	36621	13720	7247	17152	14331	10715	79819	30295	12054	41944	36229	8306	14240	11615	14243	20903	3574	14149	5929	48460	651	3236	1779	3195	17737	9840	16223	14924	23550	9843	21616	57277	2311	34859	46362	2749	8522	8031	5544	17375	7499	13365	37388	54203	69851	28941	45089	L-Homoserine
CHEBI:17368	C5H4N4O	O=c1[nH]cnc2nc[nH]c12	InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)	Hypoxanthine																	15437926	9318269	3766931	6369879	7115308	8307845	14222367	12025326	3781653	3096034	2214580	7730041	20347905	9639278	2553672	6288750	10276396	1490921	10219819	15461386	1839096	6378917	9889937	536778	4159989	1561030	2703888	223976	753877	103611	6989034	3642779	2307327	2186103	1146086	4175561	6350834	7338091	4503282	1909866	7067227	1214079	3287539	4448867	531817	724762	1446824	164264	6187995	1248107	3300178	6062539	2350201	6613805	1117626	2273189	902918	174745	1387412	Hypoxanthine
CHEBI:17596	C10H12N4O5	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(O)ncnc12	InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1	Inosine																	712472	124412	28941	278566	195157	439115	1006727	356485	131481	0	0	462257	1517192	264013	17966	370840	299571	9844	66855	2978	237430	473376	661032	15072	96719	119023	223987	0	42967	0	540239	552210	163168	24412	0	480241	938404	461885	507624	0	956085	0	38982	124636	9242	0	67136	0	71246	31550	22013	136862	38966	213150	0	157402	20983	0	79684	Inosine
CHEBI:17268	C6H12O6	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O	InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3-,4+,5-,6-	myo-Inositol																	62473	91210	41714	125829	173413	105626	93024	215337	68531	265660	217833	101627	153997	175570	63903	235043	293556	168458	727652	391288	127275	445215	643769	219607	122166	68250	115286	452061	32502	127690	60266	285346	32168	54246	65628	57192	111250	269223	118711	260970	309928	156134	200557	500203	71268	342384	369262	80646	149496	282422	98466	382507	306060	245454	983696	495027	1058930	937758	501154	myo-Inositol
CHEBI:17191	C6H13NO2	OC([C@H]([C@H](CC)C)N)=O	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1	L-Isoleucine																	27280133	23085612	22916942	24223081	28868107	23650387	21536313	23565851	11608196	26239304	10802525	20033612	30330334	25324919	24766538	29520198	30994659	25253438	27406535	24179017	15596555	19613475	23822551	17052584	26907061	13698361	26522902	28094502	18311630	26483334	3440257	10853528	1594378	2889830	2871606	3641024	27797186	23971807	26029738	25018549	31232761	24649013	15581879	18703807	10310839	12984037	23247344	13232817	23632449	2086346	24013792	29671837	28728774	27453460	22915345	19312988	17915137	20587118	18921610	L-Isoleucine
				unknown																	52633	66077	67830	62370	55998	82426	67733	69490	55401	66319	40975	63882	44839	49707	32958	47244	53976	27827	56662	46760	23331	60634	24341	46844	31722	18375	43540	116996	19757	39121	25006	62249	21486	16172	16376	20567	58066	28708	54051	35010	45132	39112	31347	37266	22407	45323	28946	19586	36142	34660	30143	50862	44837	46344	44724	33204	60690	58913	30933	Itaconic acid-2TMS
CHEBI:422	C3H6O3	C[C@H](O)C(O)=O	InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/t2-/m0/s1	L-Lactic acid																	11824299	13898000	4863968	8318037	3171064	4601176	4407282	4255712	5731745	2665918	4202776	3315540	11203358	6199520	4115328	7248992	3188923	5845573	4633631	4184871	2750413	2818701	3430581	4406096	4544937	3710089	2845332	4823789	2991051	4605481	2249810	3208241	2406197	4625795	3060171	3414190	7804768	14036918	3746574	11136731	4556029	5201982	3031563	6495333	2804225	2724551	3285520	3013035	6618273	11283575	3238384	4421088	5459359	3616338	2803215	3495922	2414410	2682411	2595999	L-Lactic acid
CHEBI:30805	C12H24O2	CCCCCCCCCCCC(O)=O	InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)	Dodecanoic acid																	208309	292290	280804	177503	427662	537163	183928	229517	210168	278339	294043	370288	160446	287964	248330	177092	237887	336537	409360	196010	287823	272026	278469	321971	228057	260736	415697	371111	195106	517196	260390	173655	140261	231183	203915	251699	465250	448143	520974	396799	480884	990193	301338	296490	348576	324713	297113	557864	253714	318355	234282	200747	193765	308805	297413	200923	291563	275888	612924	Dodecanoic acid
CHEBI:15603	C6H13NO2	CC(C)C[C@H](N)C(O)=O	InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1	L-Leucine																	22451722	13427424	13405400	20748822	26590506	20420807	22539968	23505050	19002054	27937385	19197604	22841736	26127505	9626567	19696330	28343788	29876855	23991396	30451059	27655559	21765795	26048340	27290609	23679186	25386012	2263816	23585910	28107930	17569609	26492130	6617378	20099647	2838155	6740076	6799962	7713594	22722505	20654754	16993179	21713326	29535087	22756964	21538806	25806731	16179010	24059478	28305274	21009922	20319109	4569229	21200903	28650561	28017420	27736294	26967228	23256990	27144747	28685841	25497826	L-Leucine
CHEBI:17351	C18H32O2	CCCCC\C=C/C\C=C/CCCCCCCC(O)=O	InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-	Linoleic acid																	34150	7788	23223	22800	13955	18565	23835	61394	20770	43263	40024	45294	14422	25818	16101	19837	36754	18108	65088	69302	48794	43221	43711	66866	16194	59234	11595	13754	30850	12621	73572	44721	48177	145801	112360	92733	29633	14357	28950	9714	52348	17525	67452	56063	121093	53416	36561	123646	35618	34366	11781	36241	12519	28234	47566	44390	30033	40681	24113	Linoleic acid
CHEBI:18019	C6H14N2O2	NCCCC[C@H](N)C(O)=O	InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1	L-Lysine																	10487	17304	4054	8170	40854	58886	22302	53863	60372	39425	223825	38092	50524	8211	7190	18397	36359	13648	39847	13029	11503	7957	37487	13272	68167	4407	53551	0	1890	56216	0	54482	0	4903	0	0	6727	0	52806	15519	5616	20586	29005	0	0	94181	66928	41526	5429	0	24081	121817	16130	75740	402457	73950	240041	137771	197768	L-Lysine
CHEBI:18300	C4H4O4	OC(=O)\C=C/C(O)=O	InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1-	Maleic acid																	183479	91068	59109	91253	128046	110234	159743	118324	45932	137626	46372	121869	40256	21842	27011	100080	27485	31580	176231	80311	67502	312830	40930	51616	80374	69705	125769	131496	41291	61539	21315	18801	10408	6459	6819	10269	132997	23851	88723	45384	79179	42115	64822	71367	32367	77680	74517	30264	22548	34858	42770	162065	71710	177332	120143	147732	164654	123728	69695	Maleic acid
CHEBI:6650	C4H6O5	OC(CC(O)=O)C(O)=O	InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)	Malic acid																	557967	847196	428251	702078	851461	618825	193839	418860	302729	190445	155280	270257	634063	847317	296660	676108	860920	210465	305309	208773	203043	351106	208540	250589	388452	211558	467955	906646	179438	228992	157585	281314	147272	54116	75125	95877	537647	908576	521231	503489	927060	318358	290902	345435	113477	159284	344334	80055	657312	872836	262105	840733	631971	642061	345699	142490	540076	426746	154909	Malic acid
CHEBI:17306	C12H22O11	OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11?,12-/m1/s1	D-Maltose																	40213985	42571686	33575989	33540884	20557220	31304573	28529372	10203488	38431227	12300745	21493862	8019618	42725199	45108339	16482815	16292515	31203043	33984719	38523059	6150643	428578	829936	5428084	1060646	14454401	9851108	4314124	4516447	2690134	14364884	370340	539224	230452	634060	534885	91747	30365202	56736592	43244077	48429783	42267839	46755351	5354309	5396085	4701674	3412182	3074902	1651926	48719342	56525394	51043933	50348259	50387025	49861200	14650034	33282543	4575336	5706907	12476211	D-Maltose
CHEBI:29864	C6H14O6			Mannitol																	1519620	470284	1531190	2309074	317876	490211	10041179	477612	761678	152795	230135	206334	1835417	962413	392417	1019223	934674	311463	1953375	452509	214822	1036178	346949	452791	384783	394749	208882	221352	502622	124727	2931041	211148	926801	5744102	37235	139917	1165583	1434056	999708	338000	992004	11391994	636148	211144	889955	119961	815509	186233	1495457	3004745	410194	1536586	1922508	794156	2510531	524650	237088	247307	213300	Mannitol
CHEBI:616988	C6H13O9P			Mannose 6-phosphate																	3267288	192672	241431	1853579	1824488	1024154	1026357	601671	74929	86473	58552	479206	1688118	88306	48927	1094928	727482	45034	81098	255402	98629	147989	187097	26458	1124545	565602	281356	90461	119690	52531	35521	72629	16610	0	0	33201	2355987	111416	2596202	81085	2295238	57643	57454	426611	82603	52435	487645	17227	292498	182240	95764	2913224	61698	2426510	49861	436365	282534	56773	374254	Mannose 6-phosphate
CHEBI:16024	C6H12O6			D-Mannose																	20396034	20579551	13168280	8363886	5417076	10436787	28981462	4500968	22920285	4109504	2426866	5032650	56181184	13332765	6091592	6072165	16198272	7080957	13379906	4624271	410766	600203	3288932	1205042	3536508	1660734	1726508	2316522	472938	2148758	180102	558148	69654	64588	52562	106478	48380235	45229403	49717774	17518003	48217733	10990527	2737886	2398359	5226030	2862603	1309717	1238624	32500527	36788337	18462635	53957404	18797165	54094429	4179638	34514052	2660142	2800299	9975879	D-Mannose
